,13_PMUR-invitro.counts,14_PMUR-invitro.counts,15_PMUR-invitro.counts,16_PMUR-invitro.counts,17_PMUR-eSPF.counts,18_PMUR-eSPF.counts,19_PMUR-eSPF.counts,20_PMUR-eSPF.counts,21_PMUR-Conv.counts,22_PMUR-Conv.counts,23_PMUR-Conv.counts,24_PMUR-Conv.counts
PMUR_02432,-1.34666593716584,-1.23369735647171,-1.26587864327798,-1.26283093236042,1.06108272515324,0.83443115765451,0.38553035888154,1.33744741824657,0.686148920046302,0.203801879806381,0.386934577021329,0.213695832466075
PMUR_02433,-1.32040046807853,-1.24583246765989,-1.28808619757416,-1.20161050147542,1.08921819863993,0.828090926588076,0.307293692877299,1.38650442860672,0.738692247305223,0.240185691085285,0.249523479839827,0.216420969845657
PMUR_02434,-1.25832160068005,-1.20461176432169,-1.27135307162743,-1.2410696330169,1.21338511006027,0.840473403509119,0.290581180724143,1.39722853806738,0.691076393581116,0.0761776023176176,0.259588583782908,0.206845257603531
PMUR_01154,0.13740705660007,0.108065696726072,0.21955877986091,0.275994020631089,2.25316067226742,0.961592980584896,-0.500263078933446,0.609538236215939,-0.945928579839389,-1.00248511153386,-0.855802289661665,-1.26083838291804
PMUR_01155,0.467589201306702,0.759282380354062,0.559329782123114,0.762843053732897,1.71621787388568,0.619631554888569,-1.12395156137396,0.394529120363309,-0.968664700605685,-1.37195663457528,-0.690184172762764,-1.12466589733665
PMUR_01260,-0.811368464829458,-0.508118611052988,-1.06463918684733,-0.736888281950185,0.730809122300143,0.412323409247364,1.2928798036289,0.258582732534014,-0.041797682508327,1.78900823791033,0.311715028538643,-1.63250610697104
PMUR_01261,-0.555037898766639,0.100786152207397,-0.987112442488141,-0.737008219013519,0.711585850127122,0.343123712482076,1.69246754634413,0.00685776692782552,-0.508462613755205,1.17307808364086,0.658889991647618,-1.89916792935351
PMUR_01351,-0.990944936867888,-0.952074454834893,-1.06541849047893,-1.15852133324792,-0.409719481482475,-0.368805570372824,-0.133640083356724,0.268073733736949,1.61462586601496,1.17706163865847,1.33316173041704,0.686201381814251
PMUR_01352,-0.364268431483552,-0.929839730726987,-1.33375993412413,-1.31975874535488,0.171011872659391,0.207513324997096,0.260966152028664,-0.538528683216365,1.58755321998797,1.784877162212,0.578470090193853,-0.104236297173079
PMUR_01353,-0.977590824143944,-0.746591627206973,-0.962382398971189,-0.815010881734012,-0.11760638075696,-0.838805899390133,-0.160736198287663,1.18451448581134,1.72479974399357,0.650278201090674,-0.416869859312688,1.47600163890793
PMUR_01354,-1.09644337390769,-0.863344558816005,-1.17635655391313,-0.893897350627141,0.148500525712149,-0.60988792647271,-0.0888797193580379,1.2566328917632,1.82271295489101,0.6865701661466,-0.210565748937256,1.02495869351905
PMUR_01355,-0.980557099161254,-1.08496264286752,-1.18450037554343,-1.07933999266353,0.453980854319286,-0.175291071526537,-0.00366728442723175,1.19503926858245,1.82649368340924,0.752945135133204,-0.44582776951081,0.725687294256139
PMUR_01356,-1.11010505693644,-1.00495968851309,-1.31081392009074,-1.10040611464616,0.462945289738072,-0.262267606070564,0.053687353712082,1.17370574006847,1.73526080736741,0.870360497870251,-0.12454367970981,0.61713637721054
PMUR_01357,-1.24330538407582,-1.08106590345843,-1.13389912201191,-0.831611876613343,0.395651410508445,-0.287370459144394,-0.031766701366248,0.871685978965854,1.85355570136935,1.18628297347562,-0.307185593445159,0.609028975796026
PMUR_01358,-1.16509761580091,-1.13649820543743,-1.34750717916838,-1.15051068490154,0.370157041370933,-0.128938714847198,0.331619517500795,0.802403951695672,1.64477704169567,1.0756558078775,0.04059202626061,0.663347013754256
PMUR_01359,-1.00153924584378,-1.18877585858849,-1.14080732404219,-1.22208906705611,0.245726541715497,-0.436415343517192,0.669696257205649,0.951882588430443,1.50106055865735,1.32160759970533,-0.113468945561894,0.413122238895404
PMUR_01360,-1.32699151754588,-0.986635776990634,-1.55972965360381,-1.18329853914421,0.619502582036416,0.0437570934227149,1.16520122920536,0.741762374030066,0.873151996424126,0.403992659552604,0.113575958116514,1.09571159449674
