# bin	superkingdom	phylum	class	order	family	genus	species
MAG055	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG056	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG057	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG058	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG059	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG060	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG061	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG062	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. 26_22
MAG063	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG064	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Z-noStdName
MAG065	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Z-noStdName
MAG066	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG067	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG068	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG069	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG070	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG071	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG072	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG073	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. CAG
MAG074	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG075	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG076	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG077	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG078	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG079	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG080	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG081	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG082	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG083	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
